file_index,source_file,returncode,success,summary_rows,argument_rows,card_rows,stdout_excerpt,stderr_excerpt
33,Gonzaga_only\Emory\ChRa\Emory-ChRa-Aff-Gonzaga-Round-3.docx,0,True,0,5,0,Parse complete. | Doc: Emory-ChRa-Aff-Gonzaga-Round-3.docx | Positions detected: 5 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
34,Gonzaga_only\Emory\ChRa\Emory-ChRa-Aff-Gonzaga-Round-5.docx,0,True,0,6,0,Parse complete. | Doc: Emory-ChRa-Aff-Gonzaga-Round-5.docx | Positions detected: 6 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
35,Gonzaga_only\Emory\ChRa\Emory-ChRa-Aff-Gonzaga-Round-8.docx,0,True,0,8,1,Parse complete. | Doc: Emory-ChRa-Aff-Gonzaga-Round-8.docx | Positions detected: 8 | Cards detected: 1 | Cards with highlighted/underlined read proxy: 1 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
36,Gonzaga_only\Emory\ChRa\Emory-ChRa-Neg-Gonzaga-Round-2.docx,0,True,0,7,0,Parse complete. | Doc: Emory-ChRa-Neg-Gonzaga-Round-2.docx | Positions detected: 7 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
37,Gonzaga_only\Emory\ChRa\Emory-ChRa-Neg-Gonzaga-Round-4.docx,0,True,0,1,0,Parse complete. | Doc: Emory-ChRa-Neg-Gonzaga-Round-4.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
38,Gonzaga_only\Emory\ChRa\Emory-ChRa-Neg-Gonzaga-Round-6.docx,0,True,0,5,3,Parse complete. | Doc: Emory-ChRa-Neg-Gonzaga-Round-6.docx | Positions detected: 5 | Cards detected: 3 | Cards with highlighted/underlined read proxy: 3 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
39,Gonzaga_only\Emory\ChRa\Emory-ChRa-Neg-Gonzaga-Round-7.docx,0,True,0,1,0,Parse complete. | Doc: Emory-ChRa-Neg-Gonzaga-Round-7.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
40,Gonzaga_only\Emory\CrSt\Emory-CrSt-Aff-Gonzaga-Round-1.docx,0,True,1,2,0,Parse complete. | Doc: Emory-CrSt-Aff-Gonzaga-Round-1.docx | Positions detected: 2 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
41,Gonzaga_only\Emory\CrSt\Emory-CrSt-Aff-Gonzaga-Round-3.docx,0,True,1,2,0,Parse complete. | Doc: Emory-CrSt-Aff-Gonzaga-Round-3.docx | Positions detected: 2 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
42,Gonzaga_only\Emory\CrSt\Emory-CrSt-Aff-Gonzaga-Round-5.docx,0,True,1,2,1,Parse complete. | Doc: Emory-CrSt-Aff-Gonzaga-Round-5.docx | Positions detected: 2 | Cards detected: 1 | Cards with highlighted/underlined read proxy: 1 | ,
43,Gonzaga_only\Emory\CrSt\Emory-CrSt-Aff-Gonzaga-Round-7.docx,0,True,1,6,0,Parse complete. | Doc: Emory-CrSt-Aff-Gonzaga-Round-7.docx | Positions detected: 6 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
44,Gonzaga_only\Emory\CrSt\Emory-CrSt-Neg-Gonzaga-Round-4.docx,0,True,1,4,0,Parse complete. | Doc: Emory-CrSt-Neg-Gonzaga-Round-4.docx | Positions detected: 4 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
45,Gonzaga_only\Emory\CrSt\Emory-CrSt-Neg-Gonzaga-Round-6.docx,0,True,1,6,0,Parse complete. | Doc: Emory-CrSt-Neg-Gonzaga-Round-6.docx | Positions detected: 6 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
46,Gonzaga_only\Emory\GaSo\Emory-GaSo-Aff-4.-Gonzaga-Round-1.docx,0,True,0,3,0,Parse complete. | Doc: Emory-GaSo-Aff-4.-Gonzaga-Round-1.docx | Positions detected: 3 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
47,Gonzaga_only\Emory\GaSo\Emory-GaSo-Aff-4.-Gonzaga-Round-3.docx,0,True,0,2,0,Parse complete. | Doc: Emory-GaSo-Aff-4.-Gonzaga-Round-3.docx | Positions detected: 2 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
48,Gonzaga_only\Emory\GaSo\Emory-GaSo-Aff-4.-Gonzaga-Round-6.docx,0,True,0,5,0,Parse complete. | Doc: Emory-GaSo-Aff-4.-Gonzaga-Round-6.docx | Positions detected: 5 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
49,Gonzaga_only\Emory\GaSo\Emory-GaSo-Aff-4.-Gonzaga-Round-7.docx,0,True,0,3,0,Parse complete. | Doc: Emory-GaSo-Aff-4.-Gonzaga-Round-7.docx | Positions detected: 3 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
50,Gonzaga_only\Emory\GaSo\Emory-GaSo-Neg-4.-Gonzaga-Round-2.docx,0,True,0,7,2,Parse complete. | Doc: Emory-GaSo-Neg-4.-Gonzaga-Round-2.docx | Positions detected: 7 | Cards detected: 2 | Cards with highlighted/underlined read proxy: 2 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
51,Gonzaga_only\Emory\GaSo\Emory-GaSo-Neg-4.-Gonzaga-Round-4.docx,0,True,0,6,0,Parse complete. | Doc: Emory-GaSo-Neg-4.-Gonzaga-Round-4.docx | Positions detected: 6 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
52,Gonzaga_only\Emory\GaSo\Emory-GaSo-Neg-4.-Gonzaga-Round-5.docx,0,True,0,3,0,Parse complete. | Doc: Emory-GaSo-Neg-4.-Gonzaga-Round-5.docx | Positions detected: 3 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
53,Gonzaga_only\Emory\GaSo\Emory-GaSo-Neg-4.-Gonzaga-Round-8.docx,0,True,0,13,1,Parse complete. | Doc: Emory-GaSo-Neg-4.-Gonzaga-Round-8.docx | Positions detected: 13 | Cards detected: 1 | Cards with highlighted/underlined read proxy: 1 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
54,Gonzaga_only\Emory\GrCh\Emory-GrCh-Aff-3---Gonzaga-Round-1.docx,0,True,0,3,0,Parse complete. | Doc: Emory-GrCh-Aff-3---Gonzaga-Round-1.docx | Positions detected: 3 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
55,Gonzaga_only\Emory\GrCh\Emory-GrCh-Aff-3---Gonzaga-Round-4.docx,0,True,0,2,1,Parse complete. | Doc: Emory-GrCh-Aff-3---Gonzaga-Round-4.docx | Positions detected: 2 | Cards detected: 1 | Cards with highlighted/underlined read proxy: 1 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
56,Gonzaga_only\Emory\GrCh\Emory-GrCh-Aff-3---Gonzaga-Round-6.docx,0,True,0,2,1,Parse complete. | Doc: Emory-GrCh-Aff-3---Gonzaga-Round-6.docx | Positions detected: 2 | Cards detected: 1 | Cards with highlighted/underlined read proxy: 1 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
57,Gonzaga_only\Emory\GrCh\Emory-GrCh-Aff-3---Gonzaga-Round-7.docx,0,True,0,8,0,Parse complete. | Doc: Emory-GrCh-Aff-3---Gonzaga-Round-7.docx | Positions detected: 8 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
58,Gonzaga_only\Emory\GrCh\Emory-GrCh-Neg-3---Gonzaga-Round-2.docx,0,True,0,10,0,Parse complete. | Doc: Emory-GrCh-Neg-3---Gonzaga-Round-2.docx | Positions detected: 10 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
59,Gonzaga_only\Emory\GrCh\Emory-GrCh-Neg-3---Gonzaga-Round-3.docx,0,True,0,11,0,Parse complete. | Doc: Emory-GrCh-Neg-3---Gonzaga-Round-3.docx | Positions detected: 11 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
60,Gonzaga_only\Emory\GrCh\Emory-GrCh-Neg-3---Gonzaga-Round-5.docx,0,True,0,2,0,Parse complete. | Doc: Emory-GrCh-Neg-3---Gonzaga-Round-5.docx | Positions detected: 2 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
61,Gonzaga_only\Emory\GrCh\Emory-GrCh-Neg-3---Gonzaga-Round-8.docx,0,True,0,5,0,Parse complete. | Doc: Emory-GrCh-Neg-3---Gonzaga-Round-8.docx | Positions detected: 5 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
62,Gonzaga_only\Emory\LoYa\Emory-LoYa-Aff-03---Gonzaga-Round-2.docx,0,True,0,10,0,Parse complete. | Doc: Emory-LoYa-Aff-03---Gonzaga-Round-2.docx | Positions detected: 10 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
63,Gonzaga_only\Emory\LoYa\Emory-LoYa-Aff-03---Gonzaga-Round-4.docx,0,False,0,0,0,Parse complete. | Doc: Emory-LoYa-Aff-03---Gonzaga-Round-4.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
