file_index,source_file,returncode,success,summary_rows,argument_rows,card_rows,stdout_excerpt,stderr_excerpt
269,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\OuAg\Michigan-OuAg-Neg-4-Gonzaga-University-Jesuit-Debates-Round-3.docx,0,True,1,1,15,Parse complete. | Doc: Michigan-OuAg-Neg-4-Gonzaga-University-Jesuit-Debates-Round-3.docx | Positions detected: 1 | Cards detected: 15 | Cards with highlighted/underlined read proxy: 15 | ,
270,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\OuAg\Michigan-OuAg-Neg-4-Gonzaga-University-Jesuit-Debates-Round-6.docx,0,True,1,1,31,Parse complete. | Doc: Michigan-OuAg-Neg-4-Gonzaga-University-Jesuit-Debates-Round-6.docx | Positions detected: 1 | Cards detected: 31 | Cards with highlighted/underlined read proxy: 31 | ,
271,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\OuAg\Michigan-OuAg-Neg-4-Gonzaga-University-Jesuit-Debates-Round-8.docx,0,True,1,0,0,Parse complete. | Doc: Michigan-OuAg-Neg-4-Gonzaga-University-Jesuit-Debates-Round-8.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
272,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ShSh\Michigan-ShSh-Aff-Gonzaga-Round-2.docx,0,True,1,8,55,Parse complete. | Doc: Michigan-ShSh-Aff-Gonzaga-Round-2.docx | Positions detected: 8 | Cards detected: 55 | Cards with highlighted/underlined read proxy: 55 | ,
273,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ShSh\Michigan-ShSh-Aff-Gonzaga-Round-3.docx,0,True,1,10,56,Parse complete. | Doc: Michigan-ShSh-Aff-Gonzaga-Round-3.docx | Positions detected: 10 | Cards detected: 56 | Cards with highlighted/underlined read proxy: 56 | ,
274,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ShSh\Michigan-ShSh-Aff-Gonzaga-Round-5.docx,0,True,1,9,18,Parse complete. | Doc: Michigan-ShSh-Aff-Gonzaga-Round-5.docx | Positions detected: 9 | Cards detected: 18 | Cards with highlighted/underlined read proxy: 18 | ,
275,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ShSh\Michigan-ShSh-Aff-Gonzaga-Round-7.docx,0,True,1,12,73,Parse complete. | Doc: Michigan-ShSh-Aff-Gonzaga-Round-7.docx | Positions detected: 12 | Cards detected: 73 | Cards with highlighted/underlined read proxy: 73 | ,
276,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ShSh\Michigan-ShSh-Neg-Gonzaga-Round-1.docx,0,True,1,6,16,Parse complete. | Doc: Michigan-ShSh-Neg-Gonzaga-Round-1.docx | Positions detected: 6 | Cards detected: 16 | Cards with highlighted/underlined read proxy: 16 | ,
277,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ShSh\Michigan-ShSh-Neg-Gonzaga-Round-4.docx,0,True,1,4,12,Parse complete. | Doc: Michigan-ShSh-Neg-Gonzaga-Round-4.docx | Positions detected: 4 | Cards detected: 12 | Cards with highlighted/underlined read proxy: 12 | ,
278,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ShSh\Michigan-ShSh-Neg-Gonzaga-Round-6.docx,0,True,1,5,12,Parse complete. | Doc: Michigan-ShSh-Neg-Gonzaga-Round-6.docx | Positions detected: 5 | Cards detected: 12 | Cards with highlighted/underlined read proxy: 12 | ,
279,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ShSh\Michigan-ShSh-Neg-Gonzaga-Round-8.docx,0,True,1,5,22,Parse complete. | Doc: Michigan-ShSh-Neg-Gonzaga-Round-8.docx | Positions detected: 5 | Cards detected: 22 | Cards with highlighted/underlined read proxy: 22 | ,
280,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\MichiganState\Asst\MichiganState-Asst-Aff-02---Gonzaga-University-Jesuit-Debates-Round-1.docx,0,True,0,5,0,Parse complete. | Doc: MichiganState-Asst-Aff-02---Gonzaga-University-Jesuit-Debates-Round-1.docx | Positions detected: 5 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
281,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\MichiganState\Asst\MichiganState-Asst-Aff-02---Gonzaga-University-Jesuit-Debates-Round-3.docx,0,True,0,3,0,Parse complete. | Doc: MichiganState-Asst-Aff-02---Gonzaga-University-Jesuit-Debates-Round-3.docx | Positions detected: 3 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
282,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\MichiganState\Asst\MichiganState-Asst-Aff-02---Gonzaga-University-Jesuit-Debates-Round-6.docx,0,False,0,0,0,Parse complete. | Doc: MichiganState-Asst-Aff-02---Gonzaga-University-Jesuit-Debates-Round-6.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
283,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\MichiganState\Asst\MichiganState-Asst-Neg-02---Gonzaga-University-Jesuit-Debates-Round-2.docx,0,True,0,1,0,Parse complete. | Doc: MichiganState-Asst-Neg-02---Gonzaga-University-Jesuit-Debates-Round-2.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
284,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\MichiganState\Asst\MichiganState-Asst-Neg-02---Gonzaga-University-Jesuit-Debates-Round-5.docx,0,True,0,2,0,Parse complete. | Doc: MichiganState-Asst-Neg-02---Gonzaga-University-Jesuit-Debates-Round-5.docx | Positions detected: 2 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | STRICT MODE: summary row omitted because strict_fail_tournament_join | ,
