file_index,selected_file_path,returncode,parse_success,join_success,summary_rows,stdout_excerpt,stderr_excerpt
56,DartmouthCollege\GuMo\DartmouthCollege-GuMo-Aff-1---NUSO-Round-6.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-GuMo-Aff-1---NUSO-Round-6.docx | Positions detected: 4 | Cards detected: 1 | Cards with highlighted/underlined read proxy: 1 | ,
57,DartmouthCollege\GuMo\DartmouthCollege-GuMo-Aff-1---NUSO-Round-7.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-GuMo-Aff-1---NUSO-Round-7.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
58,DartmouthCollege\GuMo\DartmouthCollege-GuMo-Neg-1---NUSO-Round-2.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-GuMo-Neg-1---NUSO-Round-2.docx | Positions detected: 9 | Cards detected: 1 | Cards with highlighted/underlined read proxy: 1 | ,
59,DartmouthCollege\GuMo\DartmouthCollege-GuMo-Neg-1---NUSO-Round-4.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-GuMo-Neg-1---NUSO-Round-4.docx | Positions detected: 2 | Cards detected: 3 | Cards with highlighted/underlined read proxy: 3 | ,
60,DartmouthCollege\GuMo\DartmouthCollege-GuMo-Neg-1---NUSO-Round-5.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-GuMo-Neg-1---NUSO-Round-5.docx | Positions detected: 1 | Cards detected: 8 | Cards with highlighted/underlined read proxy: 8 | ,
61,DartmouthCollege\GuMo\DartmouthCollege-GuMo-Neg-1---NUSO-Round-8.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-GuMo-Neg-1---NUSO-Round-8.docx | Positions detected: 1 | Cards detected: 2 | Cards with highlighted/underlined read proxy: 2 | ,
62,DartmouthCollege\JoBe\DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
63,DartmouthCollege\JoBe\DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
64,DartmouthCollege\JoBe\DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-6.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-6.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
65,DartmouthCollege\JoBe\DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-7.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-7.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
